,id,groupid,line_no,first_relate_chain,first_relate_chain_usegas,second_relate_chain,second_relate_chain_usegas,rankid,total,address,tx_count,angle,angle_firsttime,angle_lasttime,merkly,merkly_firsttime,merkly_lasttime,stargate,stargate_firsttime,stargate_lasttime,sum_stargate_swap_usd
83,139952,2.02405E+19,17,op,0.23906629,zksync,0.03580307,1543811,17.96563785,0x829a6e0c8d772d2df2e1d2d7affba140e33ad668,131,6,2023/7/30 2:33,2023/8/7 15:40,115,2023/8/13 6:41,2024/4/28 20:52,10,2023/7/31 22:53,2023/8/15 15:19,1.00E-04
84,139951,2.02405E+19,16,op,0.23906629,zksync,0.03580307,1543778,17.96623488,0x1551c927bc45c0d074831fa61815c30d4afbf7bb,131,6,2023/7/30 3:07,2023/8/7 16:06,115,2023/8/13 6:55,2024/4/28 20:54,10,2023/8/1 6:11,2023/8/15 15:49,1.00E-04
85,139950,2.02405E+19,15,op,0.23906629,zksync,0.03580307,1543753,17.96663896,0xaf41319e6fd9d160255ac308fc61d2a6409bdc88,131,6,2023/7/30 2:47,2023/8/7 15:51,115,2023/8/13 6:46,2024/4/28 20:53,10,2023/7/31 23:05,2023/8/15 15:31,1.00E-04
86,139949,2.02405E+19,14,op,0.23906629,zksync,0.03580307,1543740,17.96690345,0xa16759c98636726e06babf6f9b61a75b23062ec1,131,6,2023/7/30 3:14,2023/8/7 16:14,115,2023/8/13 6:55,2024/4/28 20:54,10,2023/8/1 6:19,2023/8/15 15:57,1.00E-04
87,139948,2.02405E+19,13,op,0.23906629,zksync,0.03580307,1543720,17.96726741,0x86f676c2c4ce021bc502e163839f6cce46bb93b3,131,6,2023/7/30 2:31,2023/8/7 15:37,115,2023/8/13 6:40,2024/4/28 20:52,10,2023/7/31 22:50,2023/8/15 15:17,1.00E-04
88,139947,2.02405E+19,12,op,0.23906629,zksync,0.03580307,1543717,17.96738365,0x796448b07135c1776e585ba3c63af801cbdeab74,131,6,2023/7/30 2:24,2023/8/7 15:30,115,2023/8/13 6:37,2024/4/28 20:50,10,2023/7/31 22:42,2023/8/15 15:01,1.00E-04
89,139946,2.02405E+19,11,op,0.23906629,zksync,0.03580307,1543707,17.9674959,0x08e7896caf59aea02a1d547b4adaeb3d283b07a1,130,6,2023/7/30 2:43,2023/8/7 15:45,114,2023/8/13 6:46,2024/4/28 20:53,10,2023/7/31 22:58,2023/8/15 15:25,1.00E-04
90,139945,2.02405E+19,10,op,0.23906629,zksync,0.03580307,1543706,17.96750162,0x45928c3e4afba7bb30194220ca5305a9a9147dc4,130,6,2023/7/30 2:41,2023/8/7 15:43,114,2023/8/13 6:42,2024/4/28 20:52,10,2023/7/31 22:55,2023/8/15 15:22,1.00E-04
91,139944,2.02405E+19,9,op,0.23906629,zksync,0.03580307,1543705,17.9675024,0xf8d9024ab885117f4d561d379b2a50ee53a281c1,131,6,2023/7/30 2:59,2023/8/7 15:56,115,2023/8/13 6:48,2024/4/28 20:53,10,2023/7/31 23:10,2023/8/15 15:38,1.00E-04
92,139943,2.02405E+19,8,op,0.23906629,zksync,0.03580307,1538083,18.06841449,0x3ef20243571061771445a1295d9e005d1a131bfa,132,6,2023/7/30 3:01,2023/8/7 15:59,115,2023/8/13 6:51,2024/4/28 20:53,11,2023/7/31 23:13,2023/8/15 15:40,1.00E-04
93,139942,2.02405E+19,7,op,0.23906629,zksync,0.03580307,1521387,18.36778902,0x1a77336061a2a1b3e6bf342b8be90207ae85daef,133,6,2023/7/29 21:28,2023/8/7 13:03,115,2023/8/13 6:12,2024/4/28 20:47,12,2023/7/31 21:46,2023/8/15 13:49,1.00E-04
94,139941,2.02405E+19,6,op,0.23906629,zksync,0.03580307,1519705,18.39826352,0x50577bd02611c3b1bddd82e4c71734dc3af62c46,133,6,2023/7/29 18:21,2023/8/7 12:00,116,2023/8/13 6:00,2024/4/28 20:46,11,2023/7/31 20:47,2023/8/15 13:23,1.00E-04
95,139940,2.02405E+19,5,op,0.23906629,zksync,0.03580307,1505307,18.6621772,0xf5d9f2094dd35013af170986ba7f1ef359f47a67,132,6,2023/7/30 3:05,2023/8/7 16:02,115,2023/8/13 6:50,2024/4/28 20:53,11,2023/7/31 23:17,2023/8/15 15:45,1.00E-04
96,139939,2.02405E+19,4,op,0.23906629,zksync,0.03580307,1495334,18.84698753,0x5bb0c0d66bd3d85d7d4fc9a2f1acb3d49387fb7b,130,6,2023/7/30 2:18,2023/8/7 15:20,114,2023/8/13 6:34,2024/4/28 20:49,10,2023/7/31 22:34,2023/8/15 14:41,1.00E-04
97,139938,2.02405E+19,3,op,0.23906629,zksync,0.03580307,1491571,18.91745792,0x44e290665bdd9a9a25fef19b8114de33fe631ace,130,6,2023/7/30 3:06,2023/8/7 16:03,114,2023/8/13 6:51,2024/4/28 20:53,10,2023/7/31 23:19,2023/8/15 15:46,1.00E-04
98,139937,2.02405E+19,2,op,0.23906629,zksync,0.03580307,1485775,19.02585213,0x29a6d8a8ab9087ee2cff9aae9154d751a7496b46,133,6,2023/7/29 21:29,2023/8/7 13:04,115,2023/8/13 6:12,2024/4/28 20:47,12,2023/7/31 21:47,2023/8/15 13:51,1.00E-04
99,139936,2.02405E+19,1,op,0.23906629,zksync,0.03580307,1482392,19.08884796,0x82e2e267abb4877e491d2a7e3b3c199fdf617552,135,7,2023/7/29 16:04,2023/8/7 11:16,116,2023/8/13 5:57,2024/4/28 20:46,12,2023/7/31 20:24,2023/8/15 13:22,1.00E-04
